Figure 3: Median total household wealth is highest for those with a White British head of the household,,
"Average total household wealth (£) by ethnicity of the household head; Great Britain, April 2016 to March 2018",,
,,
Notes,"1. Results for Great Britain include households where the ethnicity of the household head is unknown. 
2. Results for ‘Black – Other’ are not presented because the surveyed sample size is less than 30 households. Results for the Bangladeshi and Chinese ethnic groups are based on less than 50 unweighted cases and such data should be treated with some caution. 
3. We recommend comparing median measures of wealth where possible as it accounts for the fact that wealth is positively skewed, and the mean can be highly affected by large values and outliers.",
Unit,£,
,,
,Median,Mean
Black African,34300,147300
Other,35000,240300
Bangladeshi,65600,141100
Chinese,77300,348400
Black Caribbean,85900,379200
Other White,118000,406400
Mixed/Multiple,162000,397500
Other Asian,162100,367800
Pakistani,224500,302100
Great Britain,286600,564300
Indian,313200,493800
White British,313900,590400
